N,종목명,현재가,전일비,등락률,액면가,시가,고가,저가
23.0,삼성화재,309500.0,4500.0,-1.43%,500.0,309500.0,315500.0,307500.0
24.0,한국전력,22500.0,1800.0,-7.41%,5000.0,24000.0,24050.0,22150.0
25.0,LG,88900.0,700.0,-0.78%,5000.0,89000.0,89700.0,87800.0
26.0,SK,182900.0,1300.0,-0.71%,200.0,182400.0,185300.0,182300.0
27.0,카카오뱅크,27800.0,150.0,-0.54%,5000.0,27650.0,28100.0,27300.0
28.0,삼성에스디에스,158600.0,1600.0,+1.02%,500.0,156700.0,161500.0,156500.0
29.0,KT&G,92800.0,100.0,+0.11%,5000.0,91900.0,93300.0,91600.0
30.0,SK이노베이션,125100.0,500.0,-0.40%,5000.0,128000.0,128100.0,122200.0
31.0,기업은행,14870.0,180.0,-1.20%,5000.0,14880.0,15050.0,14840.0
32.0,크래프톤,237500.0,500.0,-0.21%,100.0,234500.0,243000.0,234000.0
33.0,SK텔레콤,53300.0,100.0,+0.19%,100.0,52900.0,53500.0,52700.0
34.0,두산에너빌리티,17850.0,10.0,-0.06%,5000.0,18350.0,18920.0,17780.0
35.0,우리금융지주,14780.0,130.0,-0.87%,5000.0,14720.0,14880.0,14640.0
36.0,삼성전기,147700.0,2500.0,+1.72%,5000.0,145500.0,149500.0,144100.0
37.0,HD현대중공업,122300.0,800.0,-0.65%,5000.0,123500.0,124500.0,120600.0
38.0,HMM,15730.0,320.0,-1.99%,5000.0,16020.0,16100.0,15720.0
39.0,에코프로머티,152500.0,700.0,+0.46%,500.0,154600.0,156200.0,150300.0
40.0,포스코인터내셔널,56600.0,300.0,-0.53%,5000.0,57200.0,57400.0,55800.0
41.0,KT,37550.0,450.0,-1.18%,5000.0,37650.0,37900.0,37400.0
42.0,한화에어로스페이스,189600.0,6400.0,+3.49%,5000.0,189200.0,192900.0,186800.0
43.0,SK스퀘어,68800.0,200.0,-0.29%,100.0,68200.0,70000.0,68200.0
44.0,고려아연,447500.0,5000.0,-1.10%,5000.0,447500.0,452000.0,444000.0
45.0,한미반도체,93700.0,4600.0,-4.68%,100.0,96500.0,97500.0,93100.0
46.0,S-Oil,79200.0,900.0,+1.15%,2500.0,79200.0,79500.0,78500.0
47.0,HD한국조선해양,124800.0,600.0,-0.48%,5000.0,125400.0,125500.0,122700.0
48.0,한화오션,28100.0,1000.0,-3.44%,5000.0,28950.0,29050.0,27350.0
49.0,포스코DX,53100.0,600.0,-1.12%,500.0,54200.0,54400.0,52400.0
50.0,하이브,191500.0,5900.0,-2.99%,500.0,197300.0,197300.0,191300.0
51.0,대한항공,21250.0,550.0,-2.52%,5000.0,21750.0,21800.0,21250.0
52.0,삼성중공업,8640.0,360.0,-4.00%,1000.0,8980.0,8990.0,8570.0
53.0,KODEX CD금리액티브(합성),1030145.0,105.0,+0.01%,0.0,1030140.0,1030145.0,1030140.0
54.0,금양,127900.0,2200.0,-1.69%,500.0,133500.0,133600.0,126400.0
55.0,SK바이오팜,93200.0,1200.0,-1.27%,500.0,93900.0,94700.0,92700.0
56.0,DB손해보험,101000.0,300.0,-0.30%,500.0,99200.0,102800.0,99200.0
57.0,TIGER CD금리투자KIS(합성),53995.0,0.0,0.00%,0.0,53995.0,54000.0,53995.0
58.0,현대글로비스,186900.0,700.0,+0.38%,500.0,185300.0,191300.0,185300.0
59.0,KODEX 200,35995.0,525.0,-1.44%,0.0,36235.0,36235.0,35885.0
60.0,아모레퍼시픽,112100.0,800.0,-0.71%,500.0,111800.0,112800.0,110400.0
61.0,엘앤에프,179700.0,3300.0,+1.87%,500.0,178100.0,181500.0,172500.0
62.0,한국타이어앤테크놀로지,50300.0,1500.0,-2.90%,500.0,50800.0,52000.0,50300.0
63.0,유한양행,75700.0,1400.0,+1.88%,1000.0,74800.0,77200.0,74000.0
64.0,두산로보틱스,93400.0,400.0,+0.43%,500.0,93800.0,95900.0,91600.0
65.0,코스모신소재,176000.0,1500.0,-0.85%,1000.0,178500.0,179100.0,172700.0
66.0,맥쿼리인프라,12770.0,0.0,0.00%,0.0,12790.0,12800.0,12750.0
67.0,LG생활건강,352500.0,3000.0,-0.84%,5000.0,353000.0,359500.0,350500.0
68.0,HD현대,69200.0,1500.0,-2.12%,1000.0,70300.0,71000.0,69100.0
69.0,현대차2우B,150300.0,5000.0,-3.22%,5000.0,155400.0,155500.0,149900.0
70.0,SK아이이테크놀로지,76100.0,500.0,+0.66%,1000.0,76000.0,77000.0,74300.0
71.0,HD현대일렉트릭,148600.0,6000.0,-3.88%,5000.0,154000.0,154600.0,148100.0
72.0,KODEX KOFR금리액티브(합성),106170.0,5.0,0.00%,0.0,106175.0,106175.0,106170.0
73.0,카카오페이,38400.0,1250.0,-3.15%,500.0,39350.0,39600.0,38400.0
74.0,두산밥캣,51200.0,400.0,+0.79%,500.0,50900.0,52400.0,50600.0
75.0,롯데케미칼,118300.0,1900.0,-1.58%,5000.0,120200.0,120700.0,117500.0
76.0,삼성엔지니어링,25350.0,400.0,-1.55%,5000.0,25500.0,25850.0,25250.0
77.0,넷마블,57500.0,2800.0,-4.64%,100.0,59500.0,59700.0,56800.0
78.0,한국항공우주,50000.0,1100.0,-2.15%,5000.0,50800.0,50900.0,49850.0
79.0,미래에셋증권,8080.0,0.0,0.00%,5000.0,8040.0,8150.0,8010.0
80.0,TIGER KOFR금리액티브(합성),104715.0,5.0,0.00%,0.0,104710.0,104715.0,104710.0
81.0,SKC,124300.0,2500.0,+2.05%,5000.0,124000.0,127300.0,120000.0
82.0,한화솔루션,27200.0,450.0,-1.63%,5000.0,27650.0,27700.0,27150.0
83.0,GS,49950.0,850.0,+1.73%,5000.0,48800.0,50900.0,48750.0
84.0,SK바이오사이언스,60300.0,900.0,-1.47%,500.0,61000.0,61100.0,60200.0
85.0,삼성카드,38950.0,150.0,-0.38%,5000.0,38850.0,39300.0,38600.0
86.0,LG이노텍,189800.0,500.0,-0.26%,5000.0,190900.0,191400.0,188400.0
87.0,CJ제일제당,292500.0,1000.0,-0.34%,5000.0,293000.0,297000.0,291000.0
88.0,LG유플러스,9970.0,20.0,-0.20%,5000.0,9980.0,9990.0,9940.0
89.0,현대제철,32250.0,900.0,-2.71%,5000.0,33000.0,33000.0,32250.0
90.0,NH투자증권,12830.0,100.0,-0.77%,5000.0,12860.0,13020.0,12770.0
91.0,한미약품,325500.0,1500.0,-0.46%,2500.0,327500.0,327500.0,320000.0
92.0,엔씨소프트,187800.0,4900.0,-2.54%,500.0,191800.0,191800.0,187800.0
93.0,코웨이,55300.0,200.0,-0.36%,500.0,55000.0,56800.0,55000.0
94.0,금호석유,141500.0,3900.0,+2.83%,5000.0,136800.0,143300.0,136800.0
95.0,LG디스플레이,10880.0,140.0,-1.27%,5000.0,10980.0,10990.0,10860.0
96.0,현대오토에버,141800.0,800.0,-0.56%,500.0,142900.0,143700.0,141600.0
97.0,한진칼,58200.0,900.0,-1.52%,2500.0,59100.0,59300.0,57900.0
98.0,한국금융지주,69100.0,0.0,0.00%,5000.0,68100.0,69300.0,68000.0
99.0,현대건설,33950.0,450.0,-1.31%,5000.0,34150.0,34600.0,33900.0
100.0,오리온,92100.0,2000.0,-2.13%,500.0,94300.0,95500.0,92100.0
101.0,현대차우,150800.0,5200.0,-3.33%,5000.0,155500.0,155800.0,149900.0
102.0,삼성증권,40600.0,550.0,-1.34%,5000.0,40700.0,41150.0,40400.0
103.0,LIG넥스원,164200.0,900.0,+0.55%,5000.0,165600.0,168500.0,163300.0
104.0,강원랜드,16880.0,100.0,-0.59%,500.0,16890.0,17040.0,16820.0
105.0,LS,108600.0,2000.0,-1.81%,5000.0,112000.0,113000.0,106600.0
106.0,쌍용C&E,7000.0,0.0,0.00%,100.0,7000.0,7010.0,7000.0
107.0,현대로템,31650.0,400.0,+1.28%,5000.0,31450.0,32150.0,31150.0
108.0,키움증권,131600.0,600.0,+0.46%,5000.0,129100.0,135700.0,128100.0
109.0,한화시스템,17390.0,230.0,-1.31%,5000.0,17700.0,17930.0,17200.0
110.0,CJ,111300.0,1000.0,-0.89%,5000.0,112600.0,113500.0,109200.0
111.0,롯데지주,28800.0,0.0,0.00%,200.0,28650.0,29400.0,28650.0
112.0,현대해상,33450.0,350.0,-1.04%,500.0,33750.0,34300.0,33400.0
113.0,한온시스템,5590.0,350.0,-5.89%,100.0,5910.0,5930.0,5590.0
114.0,CJ대한통운,130200.0,2300.0,+1.80%,5000.0,126400.0,134100.0,126400.0
115.0,TIGER 미국나스닥100,107260.0,660.0,+0.62%,0.0,106975.0,107285.0,106950.0
116.0,KODEX 종합채권(AA-이상)액티브,109250.0,245.0,-0.22%,0.0,109440.0,109440.0,109110.0
117.0,TIGER 미국S&P500,17215.0,105.0,+0.61%,0.0,17175.0,17225.0,17170.0
118.0,한미사이언스,39500.0,200.0,-0.50%,500.0,39750.0,40300.0,39300.0
119.0,한화생명,3170.0,20.0,-0.63%,5000.0,3160.0,3240.0,3155.0
120.0,LS ELECTRIC,90500.0,200.0,-0.22%,5000.0,90100.0,91900.0,88700.0
121.0,KODEX 24-12 은행채(AA+이상)액티브,10225.0,0.0,0.00%,0.0,10230.0,10230.0,10225.0
122.0,현대미포조선,65400.0,900.0,-1.36%,5000.0,66500.0,66700.0,65000.0
123.0,F&F,67600.0,800.0,-1.17%,100.0,68000.0,68900.0,67500.0
124.0,BNK금융지주,7980.0,50.0,-0.62%,5000.0,7940.0,8070.0,7930.0
125.0,한전기술,66900.0,1600.0,-2.34%,200.0,69900.0,70600.0,66800.0
126.0,한국가스공사,27350.0,1050.0,-3.70%,5000.0,28250.0,28550.0,27300.0
127.0,KCC,284000.0,9500.0,+3.46%,5000.0,274000.0,287000.0,273500.0
128.0,JB금융지주,12890.0,120.0,-0.92%,5000.0,12710.0,12970.0,12540.0
129.0,휠라홀딩스,39750.0,700.0,-1.73%,1000.0,40000.0,40150.0,38950.0
130.0,두산,142200.0,19800.0,-12.22%,5000.0,160900.0,161000.0,142000.0
131.0,TIGER 200,36060.0,515.0,-1.41%,0.0,36310.0,36330.0,35955.0
132.0,팬오션,4340.0,40.0,-0.91%,1000.0,4365.0,4385.0,4320.0
133.0,LG화학우,299500.0,2500.0,-0.83%,5000.0,303000.0,304000.0,298500.0
134.0,이수페타시스,36300.0,1350.0,-3.59%,1000.0,36600.0,37550.0,35650.0
135.0,호텔신라,57300.0,500.0,-0.87%,5000.0,57700.0,57800.0,57300.0
136.0,에스원,58600.0,300.0,+0.51%,500.0,57400.0,58900.0,56600.0
137.0,효성중공업,237000.0,9000.0,-3.66%,5000.0,244000.0,245500.0,236000.0
138.0,농심,361000.0,2500.0,-0.69%,5000.0,362500.0,368000.0,360000.0
139.0,이수스페셜티케미컬,391500.0,10500.0,-2.61%,5000.0,397500.0,402000.0,383500.0
140.0,GS리테일,20800.0,300.0,-1.42%,1000.0,21100.0,21200.0,20750.0
141.0,씨에스윈드,50800.0,500.0,-0.97%,500.0,51400.0,51500.0,50300.0
142.0,한화,28550.0,550.0,-1.89%,5000.0,28800.0,29250.0,28400.0
143.0,TIGER 미국필라델피아반도체나스닥,16845.0,250.0,-1.46%,0.0,16855.0,16855.0,16770.0
144.0,아모레G,25750.0,550.0,-2.09%,500.0,26100.0,26300.0,25750.0
145.0,TIGER 차이나전기차SOLACTIVE,8080.0,0.0,0.00%,0.0,8095.0,8180.0,8030.0
146.0,제일기획,18220.0,50.0,-0.27%,200.0,18150.0,18380.0,18080.0
147.0,한솔케미칼,184300.0,3600.0,-1.92%,5000.0,188400.0,188400.0,183700.0
148.0,롯데쇼핑,73300.0,400.0,+0.55%,5000.0,72700.0,74200.0,72700.0
149.0,KODEX 200TR,12360.0,180.0,-1.44%,0.0,12460.0,12460.0,12325.0
150.0,BGF리테일,118400.0,900.0,-0.75%,1000.0,119300.0,119600.0,117700.0
151.0,에이피알,263500.0,23500.0,-8.19%,500.0,289500.0,290000.0,262000.0
152.0,TIGER 미국테크TOP10 INDXX,17245.0,70.0,+0.41%,0.0,17225.0,17245.0,17195.0
153.0,DB하이텍,44250.0,300.0,+0.68%,5000.0,44000.0,44550.0,43600.0
154.0,영원무역,44150.0,1300.0,+3.03%,500.0,42500.0,44200.0,42200.0
155.0,한올바이오파마,37350.0,50.0,+0.13%,500.0,37800.0,38500.0,36750.0
156.0,이마트,69300.0,0.0,0.00%,5000.0,69300.0,69800.0,69100.0
157.0,KODEX 레버리지,18220.0,520.0,-2.77%,0.0,18490.0,18490.0,18105.0
158.0,롯데에너지머티리얼즈,40200.0,0.0,0.00%,500.0,40200.0,40450.0,39450.0
159.0,OCI홀딩스,94300.0,1100.0,-1.15%,5000.0,95400.0,96300.0,94100.0
160.0,동원산업,39150.0,250.0,+0.64%,1000.0,38850.0,39300.0,38600.0
161.0,동서,17270.0,60.0,-0.35%,500.0,17270.0,17350.0,17250.0
162.0,TCC스틸,63500.0,400.0,-0.63%,1000.0,65000.0,65400.0,63100.0
163.0,KBSTAR 머니마켓액티브,51885.0,10.0,+0.02%,0.0,51890.0,51890.0,51885.0
164.0,금호타이어,5760.0,200.0,-3.36%,5000.0,5910.0,5910.0,5750.0
165.0,신세계,166800.0,300.0,-0.18%,5000.0,166000.0,168000.0,166000.0
166.0,HD현대인프라코어,8220.0,150.0,-1.79%,1000.0,8410.0,8500.0,8150.0
167.0,KODEX 200선물인버스2X,2220.0,65.0,+3.02%,0.0,2185.0,2235.0,2185.0
168.0,한전KPS,35950.0,700.0,-1.91%,200.0,36700.0,37150.0,35900.0
169.0,현대엘리베이,40700.0,50.0,-0.12%,5000.0,40300.0,41150.0,40300.0
170.0,현대위아,58100.0,500.0,+0.87%,5000.0,57500.0,58800.0,57300.0
171.0,대우건설,3740.0,75.0,-1.97%,5000.0,3810.0,3870.0,3735.0
172.0,오뚜기,385000.0,5000.0,-1.28%,5000.0,390000.0,392000.0,385000.0
173.0,덴티움,137700.0,2600.0,+1.92%,500.0,135200.0,138800.0,132200.0
174.0,HL만도,32400.0,450.0,-1.37%,1000.0,32650.0,32950.0,32300.0
175.0,효성첨단소재,338000.0,2500.0,-0.73%,5000.0,340500.0,340500.0,335000.0
176.0,한국앤컴퍼니,15780.0,120.0,-0.75%,500.0,15850.0,16030.0,15710.0
177.0,에스엘,32100.0,450.0,-1.38%,500.0,32550.0,32950.0,32050.0
178.0,DGB금융지주,8680.0,130.0,-1.48%,5000.0,8730.0,8800.0,8660.0
179.0,SK네트웍스,6220.0,30.0,-0.48%,2500.0,6300.0,6360.0,6180.0
180.0,코스모화학,37900.0,650.0,-1.69%,1000.0,38600.0,38800.0,37350.0
181.0,삼양식품,191800.0,5500.0,-2.79%,5000.0,196700.0,198100.0,190900.0
182.0,종근당,109300.0,300.0,-0.27%,2500.0,109500.0,110600.0,107700.0
183.0,녹십자,121500.0,600.0,+0.50%,5000.0,120800.0,122000.0,120000.0
184.0,대웅제약,122000.0,4400.0,+3.74%,2500.0,117500.0,122900.0,116100.0
185.0,하이트진로,20050.0,150.0,-0.74%,5000.0,20050.0,20100.0,19990.0
186.0,SK가스,151100.0,300.0,-0.20%,5000.0,151400.0,152300.0,151000.0
187.0,동원시스템즈,47850.0,1350.0,+2.90%,5000.0,47550.0,49050.0,45750.0
188.0,DL이앤씨,35650.0,650.0,+1.86%,5000.0,34650.0,36200.0,34650.0
189.0,코리안리,8330.0,20.0,-0.24%,500.0,8340.0,8450.0,8300.0
190.0,에스디바이오센서,11040.0,320.0,-2.82%,500.0,11310.0,11430.0,11030.0
191.0,더존비즈온,44900.0,500.0,+1.13%,500.0,43950.0,45750.0,43750.0
192.0,삼아알미늄,91800.0,1200.0,-1.29%,500.0,93500.0,93500.0,90500.0
193.0,TIGER 2차전지테마,26190.0,5.0,-0.02%,0.0,26430.0,26500.0,25830.0
194.0,솔루엠,26850.0,200.0,-0.74%,500.0,27150.0,27300.0,26800.0
195.0,풍산,47750.0,150.0,+0.32%,5000.0,48450.0,48900.0,47250.0
196.0,KG모빌리티,7030.0,700.0,-9.06%,5000.0,7760.0,7770.0,6130.0
197.0,LX세미콘,80200.0,700.0,+0.88%,500.0,79100.0,80400.0,79000.0
198.0,대한전선,10460.0,150.0,-1.41%,1000.0,10620.0,10870.0,10320.0
199.0,GS건설,15060.0,140.0,-0.92%,5000.0,15130.0,15290.0,15060.0
200.0,KBSTAR 200,36290.0,515.0,-1.40%,0.0,36620.0,36620.0,36185.0
201.0,두산퓨얼셀,19510.0,690.0,-3.42%,100.0,20000.0,20150.0,19320.0
202.0,KODEX 삼성그룹,9505.0,75.0,-0.78%,0.0,9580.0,9580.0,9475.0
203.0,영원무역홀딩스,91700.0,1100.0,+1.21%,500.0,90100.0,92100.0,89700.0
204.0,효성티앤씨,288000.0,5500.0,-1.87%,5000.0,293000.0,294500.0,287500.0
205.0,TIGER MSCI Korea TR,15315.0,175.0,-1.13%,0.0,15490.0,15490.0,15280.0
206.0,코스맥스,106900.0,2400.0,+2.30%,500.0,103500.0,110400.0,102700.0
207.0,KODEX 2차전지산업,22260.0,0.0,0.00%,0.0,22455.0,22540.0,21945.0
208.0,롯데정밀화학,47000.0,100.0,+0.21%,5000.0,46800.0,47700.0,46750.0
209.0,효성,57300.0,400.0,-0.69%,5000.0,57600.0,57700.0,57300.0
210.0,KODEX 단기채권PLUS,109920.0,10.0,+0.01%,0.0,109915.0,109925.0,109910.0
211.0,롯데칠성,127800.0,1600.0,+1.27%,500.0,125100.0,128300.0,124700.0
212.0,TIGER TOP10,11910.0,185.0,-1.53%,0.0,12040.0,12040.0,11835.0
213.0,현대백화점,50100.0,100.0,-0.20%,5000.0,50100.0,50500.0,49850.0
214.0,HDC현대산업개발,17720.0,200.0,+1.14%,5000.0,17530.0,17900.0,17430.0
215.0,KODEX Top5PlusTR,21820.0,365.0,-1.65%,0.0,22100.0,22100.0,21705.0
216.0,대웅,19380.0,500.0,-2.52%,500.0,19680.0,20050.0,19370.0
217.0,KBSTAR 종합채권(A-이상)액티브,101370.0,100.0,-0.10%,0.0,101325.0,101400.0,101235.0
218.0,대덕전자,22600.0,300.0,-1.31%,500.0,22850.0,22850.0,22500.0
219.0,롯데웰푸드,117900.0,100.0,-0.08%,500.0,117300.0,118400.0,116700.0
220.0,한샘,47100.0,100.0,+0.21%,1000.0,46850.0,47250.0,46700.0
221.0,SK케미칼,64000.0,800.0,-1.23%,5000.0,64500.0,64800.0,63700.0
222.0,DL,52400.0,5800.0,+12.45%,5000.0,47950.0,54000.0,47650.0
223.0,하나투어,68000.0,600.0,+0.89%,500.0,67400.0,68700.0,67400.0
224.0,세방전지,77700.0,2400.0,-3.00%,500.0,80200.0,80500.0,77400.0
225.0,SK리츠,4025.0,15.0,+0.37%,500.0,4010.0,4045.0,3980.0
226.0,HD현대건설기계,54700.0,500.0,-0.91%,5000.0,55200.0,56300.0,54500.0
227.0,한국콜마,44750.0,250.0,-0.56%,500.0,44850.0,45350.0,44200.0
228.0,KODEX 코스닥150레버리지,12625.0,100.0,-0.79%,0.0,12635.0,12715.0,12400.0
229.0,코오롱인더,37750.0,250.0,-0.66%,5000.0,37700.0,37950.0,37550.0
230.0,율촌화학,40800.0,650.0,-1.57%,500.0,41450.0,41800.0,40500.0
231.0,롯데렌탈,27400.0,200.0,-0.72%,5000.0,27500.0,27600.0,27250.0
232.0,LX인터내셔널,25850.0,350.0,-1.34%,5000.0,26050.0,26200.0,25800.0
233.0,다우기술,22200.0,100.0,-0.45%,500.0,22200.0,22550.0,21850.0
234.0,동양생명,6020.0,50.0,-0.82%,5000.0,6060.0,6130.0,6000.0
235.0,DS단석,163400.0,800.0,+0.49%,500.0,163400.0,174400.0,162700.0
236.0,솔루스첨단소재,13460.0,100.0,-0.74%,100.0,13670.0,13890.0,13450.0
237.0,메리츠 KIS CD금리투자 ETN,51830.0,5.0,+0.01%,0.0,51830.0,51830.0,51830.0
238.0,세아제강지주,225000.0,5500.0,+2.51%,5000.0,220000.0,228000.0,219500.0
239.0,ACE 미국30년국채액티브(H),8530.0,35.0,-0.41%,0.0,8520.0,8535.0,8500.0
240.0,아이에스동서,29500.0,1150.0,+4.06%,500.0,28350.0,29600.0,28150.0
241.0,더블유게임즈,42250.0,150.0,-0.35%,500.0,42300.0,42950.0,42100.0
242.0,대신증권,17750.0,20.0,+0.11%,5000.0,17740.0,17870.0,17610.0
243.0,보령,13090.0,30.0,+0.23%,500.0,13010.0,13190.0,12870.0
244.0,롯데손해보험,2885.0,5.0,+0.17%,1000.0,2905.0,2915.0,2850.0
245.0,NHN,26300.0,400.0,+1.54%,500.0,25850.0,26550.0,25750.0
246.0,오리온홀딩스,14160.0,90.0,-0.63%,500.0,14200.0,14270.0,14140.0
247.0,KODEX 미국S&P500TR,15625.0,100.0,+0.64%,0.0,15580.0,15630.0,15580.0
248.0,ESR켄달스퀘어리츠,4140.0,75.0,+1.85%,1000.0,4070.0,4160.0,4050.0
249.0,이노션,21800.0,200.0,+0.93%,500.0,21800.0,21950.0,21650.0
250.0,일진하이솔루스,23850.0,450.0,-1.85%,500.0,24100.0,24400.0,23650.0
251.0,미원상사,182300.0,2800.0,+1.56%,500.0,180000.0,182500.0,179500.0
252.0,ACE 미국S&P500,17395.0,100.0,+0.58%,0.0,17345.0,17410.0,17340.0
253.0,영풍,468000.0,2500.0,-0.53%,5000.0,470000.0,474500.0,467500.0
254.0,제주항공,10660.0,50.0,-0.47%,1000.0,10670.0,10790.0,10610.0
255.0,대한유화,131900.0,1600.0,+1.23%,5000.0,130300.0,133200.0,129400.0
256.0,세아베스틸지주,23600.0,550.0,+2.39%,5000.0,23050.0,24100.0,22950.0
257.0,SK디스커버리,44450.0,400.0,+0.91%,5000.0,44050.0,44550.0,44000.0
258.0,TIGER 24-12 금융채(AA-이상),50890.0,20.0,+0.04%,0.0,50880.0,50890.0,50880.0
259.0,한화투자증권,3920.0,170.0,-4.16%,5000.0,4040.0,4070.0,3910.0
260.0,한일시멘트,11970.0,80.0,-0.66%,500.0,11940.0,12010.0,11880.0
261.0,케이씨텍,39550.0,2250.0,-5.38%,500.0,41500.0,41550.0,39550.0
262.0,TIGER 단기채권액티브,53545.0,10.0,+0.02%,0.0,53545.0,53550.0,53540.0
263.0,한세실업,20450.0,690.0,+3.49%,500.0,19580.0,20700.0,19570.0
264.0,TKG휴켐스,19960.0,90.0,-0.45%,1000.0,19900.0,19990.0,19900.0
265.0,태광산업,728000.0,12000.0,-1.62%,5000.0,736000.0,739000.0,724000.0
266.0,KODEX 코스닥150,14780.0,40.0,-0.27%,0.0,14770.0,14825.0,14635.0
267.0,DN오토모티브,80700.0,2700.0,+3.46%,500.0,78400.0,80900.0,77900.0
268.0,한화엔진,9630.0,70.0,+0.73%,1000.0,9570.0,9690.0,9340.0
269.0,제이알글로벌리츠,4065.0,30.0,-0.73%,1000.0,4100.0,4115.0,4060.0
270.0,명신산업,15250.0,220.0,-1.42%,500.0,15490.0,15600.0,15210.0
271.0,미래에셋생명,4490.0,60.0,-1.32%,5000.0,4550.0,4595.0,4470.0
272.0,후성,8410.0,150.0,-1.75%,500.0,8530.0,8550.0,8290.0
273.0,아시아나항공,10650.0,320.0,-2.92%,5000.0,10970.0,10970.0,10650.0
274.0,일진전기,16550.0,650.0,-3.78%,1000.0,17030.0,17170.0,16420.0
275.0,녹십자홀딩스,16780.0,10.0,+0.06%,500.0,16610.0,16840.0,16520.0
276.0,해성디에스,46350.0,1400.0,-2.93%,5000.0,47750.0,47750.0,46300.0
277.0,롯데리츠,3240.0,15.0,-0.46%,500.0,3250.0,3255.0,3220.0
278.0,SK오션플랜트,13170.0,220.0,-1.64%,500.0,13400.0,13480.0,13150.0
279.0,넥센타이어,7970.0,200.0,-2.45%,500.0,8200.0,8260.0,7970.0
280.0,KODEX 단기채권,109050.0,15.0,+0.01%,0.0,109040.0,109050.0,109035.0
281.0,TIGER 200 IT,32945.0,300.0,-0.90%,0.0,33025.0,33045.0,32745.0
282.0,경동나비엔,52300.0,200.0,-0.38%,1000.0,52400.0,52900.0,51700.0
283.0,드림텍,11060.0,110.0,+1.00%,100.0,11000.0,11240.0,10860.0
284.0,삼성화재우,237500.0,2000.0,-0.84%,500.0,240000.0,240000.0,233500.0
285.0,TIGER 2차전지소재Fn,8175.0,5.0,+0.06%,0.0,8250.0,8250.0,8045.0
286.0,JW중외제약,32300.0,50.0,-0.15%,2500.0,32400.0,32700.0,32050.0
287.0,OCI,83300.0,400.0,-0.48%,5000.0,85100.0,85100.0,83300.0
288.0,GKL,12070.0,60.0,-0.49%,500.0,12110.0,12240.0,12060.0
289.0,LG전자우,43000.0,150.0,-0.35%,5000.0,43100.0,43250.0,42900.0
290.0,TIGER 24-04 회사채(A+이상)액티브,52040.0,5.0,-0.01%,0.0,52035.0,52050.0,52035.0
291.0,KODEX 반도체,37815.0,705.0,-1.83%,0.0,38175.0,38175.0,37735.0
292.0,애경케미칼,14950.0,50.0,-0.33%,500.0,15070.0,15440.0,14810.0
293.0,동아쏘시오홀딩스,114100.0,2700.0,-2.31%,5000.0,116800.0,117300.0,113700.0
294.0,TIGER Fn반도체TOP10,11510.0,250.0,-2.13%,0.0,11615.0,11620.0,11490.0
295.0,KODEX 미국나스닥100TR,15995.0,95.0,+0.60%,0.0,15940.0,15995.0,15940.0
296.0,KG스틸,7040.0,160.0,-2.22%,5000.0,7200.0,7250.0,6850.0
297.0,ACE 미국나스닥100,18430.0,110.0,+0.60%,0.0,18410.0,18440.0,18375.0
298.0,롯데관광개발,9140.0,110.0,+1.22%,500.0,9010.0,9200.0,8970.0
299.0,CJ CGV,5630.0,10.0,+0.18%,500.0,5690.0,5700.0,5610.0
300.0,쏘카,20650.0,100.0,+0.49%,100.0,20400.0,21000.0,20400.0
